_id,Hệ điều hành,Bộ vi xử lý,Hãng sản xuất,image_url,product_name,Cân nặng,VGA,price,product_url,device,"Bảo mật, công nghệ",Giao tiếp mạng,Card Reader,Kích thước (rộng x dài x cao),Bộ nhớ trong,Ổ cứng,Màn hình,Ổ quang,Dung lượng tối đa,Giao tiếp không dây,Cổng giao tiếp,Chủng loại,Số khe cắm,Mầu sắc,Part Number,Chipset,Phụ kiện đi kèm,ram
62a5d56c5e7f53608f8c7ec9,win 11,core™ i5-11400h,laptop hp,https://anphat.com.vn/media/product/75_41010_laptop_hp_victus_16_d0294tx_5z9r5pa___1_.jpg,laptop hp victus 16-d0294tx 5z9r5pa (core™ i5-11400h | 8gb | 512gb | rtx 3050 4gb | 16.1 inch fhd | win 11 | bạc),2.46 kg,rtx 3050 4gb,28590000,https://www.anphatpc.com.vn/laptop-hp-victus-16-d0294tx-5z9r5pa.html,laptop,bàn phím tiêu chuẩn,1 x rj-45,bluetooth® 5 combo (supporting gigabit data rate),37 x 26 x 2.35 cm,512gb,,16.1 inch fhd,không có,8gb(2 x 4gb),intel® wi-fi 6 ax201 (2x2),"1 superspeed usb type-c® 5gbps signaling rate (displayport™ 1.4, hp sleep and charge); 1 superspeed usb type-a 5gbps signaling rate (hp sleep and charge); 2 superspeed usb type-a 5gbps signaling rate;",hp victus 16-d0294tx 5z9r5pa,-,bạc,,,,8gb
62a5d56d5e7f53608f8c7eca,win 11,pentium® silver n6000,laptop asus,https://anphat.com.vn/media/product/75_41112_laptop_asus_br1100cka_gj0770w__1_.jpg,laptop asus br1100cka-gj0770w (pentium® silver n6000 | 4gb | 128gb | intel® uhd | 11.6-inch hd | win 11 | dark grey),1.26 kg,intel® uhd,9190000,https://www.anphatpc.com.vn/laptop-asus-br1100cka-gj0770w.html,laptop,bàn phím tiêu chuẩn,1x rj45 gigabit ethernet,-,29.46 x 20.49 x 1.99 ~ 2.00 cm,128gb,,11.6-inch hd,không có,4gb on board,wi-fi 6(802.11ax),1x usb 2.0 type-a1x usb 3.2 gen 1 type-a1x usb 3.2 gen 2 type-c support power delivery//1x hdmi 1.4,asus br1100cka-gj0770w,-,dark grey,,,,4gb
62a5d56d5e7f53608f8c7ecb,win 10,celeron® n4120,laptop chuwi,https://anphat.com.vn/media/product/75_40973_laptop_chuwi_larkbook__celeron___n4120__8gb__256gb__intel_uhd__13_3_inch_fhd__win_10__ghi_x__m___1_.jpg,laptop chuwi larkbook (celeron® n4120 | 8gb | 256gb | intel uhd | 13.3 inch fhd | win 10 | ghi xám),1.2 kg,intel uhd,8990000,https://www.anphatpc.com.vn/laptop-chuwi-larkbook-celeron-n4120-8gb-256gb-intel-uhd-13.3-inch-fhd-win-10-ghi-xam.html,laptop,bàn phím tiêu chuẩn,,micro sd,307*200.8*12.3mm,256gb,,13.3 inch fhd,không có,8gb,2.4g/5g wifi 802.11ac/b/g/n,usb3.1 gen1*1usb2.0*1fully functional type - c,chuwi larkbook,-,ghi xám,,,,8gb
62a5d56d5e7f53608f8c7ecc,win 10,core ™ i5-1135g7,laptop hp,https://anphat.com.vn/media/product/75_39977_,laptop hp probook 430 g8 51x37pa  (core ™ i5-1135g7 | 8gb | 256gb | intel® iris® xe | 13.3 inch fhd | win 10 | bạc),1.28 kg,intel® iris® xe,19990000,https://www.anphatpc.com.vn/laptop-hp-probook-430-g8-51x37pa_id39977.html,laptop,bàn phím tiêu chuẩn - đèn nền bàn phím,-,-,30.69 x 20.84 x 1.59 cm,256gb,,13.3 inch fhd,không có,8gb (1 x 8gb),intel® ax201 wi-fi 6 (2x2),"1 superspeed usb type-c® 10gbps signaling rate (usb power delivery, displayport™ 1.4); 2 superspeed usb type-a 5gbps signaling rate (1 charging, 1 power);",hp probook 430 g8 51x37pa,2 khe,bạc,,,,8gb
62a5d56e5e7f53608f8c7ecd,windows 10 home,amd ryzen™ 5-4680u,microsoft surface,https://anphat.com.vn/media/product/75_38782_,microsoft surface laptop 4 amd ryzen 5 4680u | 16 gb | 256gb |13.5 inch,1.27 kg,amd radeon™ graphics,38390000,https://www.anphatpc.com.vn/microsoft-surface-laptop-4-amd-ryzen-5-4680u-16-gb-256gb-13.5-inch_id38782.html,laptop,,,,308 x 223 x 14.5 mm,16gb lpddr4,256gb ssd,"13.5 inch, 2256 x 1504 pixels (full hd+)",không,,wi-fi 6: 802.11ax,1 x usb-c1 x usb-ajack cắm 3.5 mm1 x cổng kết nối surface,microsoft surface laptop 4 amd ryzen 5 4680u | 16 gb | 256gb |13.5 inch,,,,,,
62a5d56e5e7f53608f8c7ece,windows 10 home,intel core i5-1145g7,microsoft surface,https://anphat.com.vn/media/product/75_38784_,microsoft surface laptop 4 intel core i5 1145g7 | 16 gb | 512gb |13.5 inch,1.27 kg,đồ họa intel® iris® xe,48790000,https://www.anphatpc.com.vn/microsoft-surface-laptop-4-intel-core-i5-1145g7-16-gb-512gb-13.5-inch_id38784.html,laptop,,,,308 x 223 x 14.5 mm,16gb lpddr4,512gb ssd,"13.5 inch, 2256 x 1504 pixels (full hd+)",không,,wi-fi 6: 802.11ax,1 x usb-c1 x usb-ajack cắm 3.5 mm1 x cổng kết nối surface,microsoft surface laptop 4 intel core i5 1145g7 | 16 gb | 512gb |13.5 inch,,,,,,
62a5d56e5e7f53608f8c7ecf,windows 10 home,intel core i7,microsoft surface,https://anphat.com.vn/media/product/75_38785_,microsoft surface laptop 4 intel core i7 | 16 gb | 512gb |13.5 inch,1.27 kg,đồ họa intel® iris® xe,59390000,https://www.anphatpc.com.vn/microsoft-surface-laptop-4-intel-core-i7-16-gb-512gb-13.5-inch_id38785.html,laptop,,,,308 x 223 x 14.5 mm,16gb lpddr4,512gb ssd,"13.5 inch, 2256 x 1504 pixels (full hd+)",không,,wi-fi 6: 802.11ax,1 x usb-c1 x usb-ajack cắm 3.5 mm1 x cổng kết nối surface,microsoft surface laptop 4 intel core i7 | 16 gb | 512gb |13.5 inch,,,,,,
62a5d56f5e7f53608f8c7ed0,windows 10 home,intel core i7,microsoft surface,https://anphat.com.vn/media/product/75_38786_,microsoft surface laptop 4 intel core i7 | 32 gb | ssd 1tb |13.5 inch,1.27 kg,đồ họa intel® iris® xe,71990000,https://www.anphatpc.com.vn/microsoft-surface-laptop-4-intel-core-i7-32-gb-ssd-1tb-13.5-inch_id38786.html,laptop,,,,308 x 223 x 14.5 mm,32gb lpddr4,1tb ssd,"13.5 inch, 2256 x 1504 pixels (full hd+)",không,,wi-fi 6: 802.11ax,1 x usb-c1 x usb-ajack cắm 3.5 mm1 x cổng kết nối surface,microsoft surface laptop 4 intel core i7 | 32 gb | ssd 1tb |13.5 inch,,,,,,
62a5d56f5e7f53608f8c7ed1,windows 10 home,intel core i7-1185g7,microsoft surface,https://anphat.com.vn/media/product/75_38790_,microsoft surface laptop 4 intel core i7-1185g7 | 32gb | ssd 1tb | 15 inch,1.5kg,đồ họa intel® iris® xe,80590000,https://www.anphatpc.com.vn/microsoft-surface-laptop-4-intel-core-i7-1185g7-32gb-ssd-1tb-15-inch_id38790.html,laptop,,,,339.5 mm x 244 mm x 14.7 mm,32gb lpddr4,1tb ssd,"15 inch, 2496 x 1664 (201 ppi)",không,,wi-fi 6: 802.11ax,1 x usb-c1 x usb-ajack cắm 3.5 mm1 x cổng kết nối surface,microsoft surface laptop 4 intel core i7-1185g7 | 32gb | ssd 1tb | 15 inch,,,,,,
62a5d56f5e7f53608f8c7ed2,win 10,core i7-11800h,laptop msi,https://anphat.com.vn/media/product/75_38623_38177_product_1619086143bfb00a55933b895707e74ca4b3beea00.png,laptop msi katana gf66 11uc 641vn (core i7-11800h | 8gb | 512gb | rtx 3050 4gb | 15.6 inch fhd | win 10 | đen),2.10 kg,rtx 3050 4gb,29290000,https://www.anphatpc.com.vn/laptop-msi-katana-gf66-11uc-641vn-core-i7-11800h-8gb-512gb-rtx-3050-4gb-15.6-inch-fhd-win-10-den.html,laptop,"bàn phím tiêu chuẩn - backlight keyboard (single-color, red)",gb lan,-,359 x 259 x 24.9 mm,512gb,512gb nvme pcie gen3x4 ssd (new),15.6 inch fhd,không,,802.11 ax wi-fi 6,1x type-c usb3.2 gen12x type-a usb3.2 gen11x type-a usb2.0,msi katana gf66 11uc 641vn,"2 khe, tối đa 64gb",đen,,,,8gb
